date,open,high,low,close,adj_close,volume,year,weekday,change,nChange
2013-01-03,35.18,35.450001,34.75,34.77,34.77,742000,2013,3,-0.016685548170657795,0.3934867149382806
2013-01-04,34.799999,34.799999,33.919998,34.400002,34.400002,674000,2013,4,-0.010641299971239646,0.40755198434994205
2013-01-07,34.799999,34.799999,33.900002,34.34,34.34,442000,2013,0,-0.001744244084636891,0.4282558806637504
2013-01-08,34.5,34.5,33.110001000000004,33.68,33.68,1284000,2013,1,-0.019219569015725208,0.3875899210435377
2013-01-09,34.009998,34.189999,33.400002,33.639999,33.639999,698000,2013,2,-0.0011876781472683082,0.4295510375792452
2013-01-10,33.869999,33.990002000000004,33.380001,33.529999,33.529999,922500,2013,3,-0.0032699168629584836,0.4247055634111933
2013-01-11,34.040001000000004,34.040001000000004,32.110001000000004,32.91,32.91,1563200,2013,4,-0.018490874395791064,0.3892856300564781
2013-01-14,33.080002,33.380001,32.849998,33.259998,33.259998,925100,2013,0,0.010635004557885339,0.45706301457459503
2013-01-15,33.110001000000004,34.25,33.080002,33.900002,33.900002,1624200,2013,1,0.019242454554567245,0.47709298342372175
2013-01-16,33.849998,34.23,33.73,34.099998,34.099998,1378200,2013,2,0.005899586672590719,0.44604345910037063
2013-01-17,34.16,34.849998,33.919998,34.380001,34.380001,1436700,2013,3,0.008211232153151466,0.45142277434282985
2013-01-18,34.740002000000004,34.779999,33.82,34.52,34.52,3555100,2013,4,0.004072105757065077,0.44179081914028223
2013-01-22,34.560001,35.549999,34.259998,35.189999,35.189999,1920200,2013,1,0.019409009269988328,0.4774805646194122
2013-01-23,35.02,36.240002,34.959999,36.0,36.0,1564300,2013,2,0.023017931884567536,0.4858787089684117
2013-01-24,36.0,37.720001,35.84,36.990002,36.990002,1970400,2013,3,0.027500055555555472,0.49630883607254006
2013-01-25,37.0,37.540001,36.799999,36.98,36.98,1287800,2013,4,-0.0002703973900839494,0.4316855960140184
2013-01-28,36.860001,38.709999,36.860001,38.029999,38.029999,1986000,2013,0,0.028393699296917246,0.498388389983233
2013-01-29,38.099998,38.439999,37.130001,37.950001,37.950001,1426600,2013,1,-0.0021035498843951124,0.427419758004979
2013-01-30,37.849998,38.0,37.43,37.52,37.52,968100,2013,2,-0.011330724339111274,0.40594765918771386
2013-01-31,37.869999,37.869999,36.93,37.509998,37.509998,901400,2013,3,-0.00026657782515991646,0.43169448433361074
2013-02-01,38.169998,38.5,37.619999,38.299999,38.299999,1100600,2013,4,0.02106107816907899,0.4813250119990836
2013-02-04,38.400002,38.419998,37.59,37.740002,37.740002,1128000,2013,0,-0.014621331974447382,0.3982902497974893
2013-02-05,38.0,38.650002,37.68,38.130001,38.130001,1310200,2013,1,0.010333836230321428,0.4563621807362603
2013-02-06,38.18,39.389999,37.900002,39.169998,39.169998,1893200,2013,2,0.027275032067269014,0.4957851951030965
2013-02-07,39.189999,39.68,38.950001,39.48,39.48,1196600,2013,3,0.00791427152996018,0.45073173204409656
